,0,1,cluster
820,7.036571,-48.16492,1
821,15.887793,-20.719137,6
822,-4.2232513,44.527992,69
823,31.480644,17.882538,56
824,-1.3587208,34.94473,10
825,-21.211254,-7.5304413,8
826,-31.249346,-5.9246855,39
827,-5.0737424,38.872093,10
828,52.58082,11.876606,9
829,51.417217,-0.7635041,47
830,47.017357,-3.50489,5
831,10.583121,26.859438,58
832,-30.111912,2.3401415,7
833,-53.637306,-19.720789,2
834,28.109388,-29.367506,6
835,-38.78778,14.401504,7
836,64.82471,-27.236406,5
837,-3.7521179,-45.968853,1
838,-54.214417,27.43284,3
839,-33.888344,29.514868,66
840,-14.781615,36.47651,10
841,-6.7257633,41.78166,10
842,7.8358946,-63.71663,1
843,-23.646914,-10.280503,8
844,-39.70394,-0.44844335,7
845,-32.225143,21.190622,3
846,35.47617,-30.935228,6
847,-2.6071587,-32.46073,1
848,-25.67675,-19.669392,8
849,5.919022,18.841377,4
850,-28.275309,7.3427596,7
851,63.21729,-14.483639,5
852,22.114159,17.027102,12
853,-31.9772,-22.10916,2
854,50.685196,-12.998045,5
855,21.572334,-3.4898596,18
856,52.977688,-3.0616353,47
857,14.510302,55.41294,19
858,-61.186634,23.231997,3
859,11.206106,-25.922737,6
860,70.886826,-12.872066,52
861,36.827557,12.380185,55
862,30.933266,47.14858,11
863,39.943985,36.499866,11
864,-38.069004,22.956583,3
865,2.010512,-8.145965,4
866,-31.943497,-50.119778,51
867,-51.71338,35.29918,3
868,-41.92165,-27.991133,2
869,1.2769496,-5.1245384,4
870,-51.99193,-10.063909,2
871,2.3859415,-11.813995,4
872,42.57529,7.4677515,9
873,-51.721264,-25.901924,2
874,38.713383,24.752531,9
875,21.214525,-33.35889,6
876,-5.4694023,-24.223143,1
877,-37.259438,-22.347874,2
878,47.244854,-39.470955,21
879,-17.960901,12.090424,45
880,-18.524626,-27.303822,48
881,-32.37175,51.489067,23
882,-30.03001,-25.62839,2
883,-47.619442,-39.963684,2
884,-15.560389,-29.969658,17
885,15.400196,51.817104,19
886,-60.34075,-19.651754,67
887,-53.14839,-37.884876,2
888,-48.174114,12.169953,13
889,-12.895863,-25.1085,48
890,21.763077,26.24496,20
891,-37.2634,-46.599815,2
892,15.185941,-36.81658,6
893,-34.976357,53.130646,23
894,-4.7085,18.73113,4
895,3.3460433,11.100918,4
896,-71.677986,19.781189,3
897,49.53307,-18.687374,5
898,-53.55341,42.645935,15
899,55.902573,-25.175028,42
900,32.30745,-23.770782,44
901,47.894653,17.67858,54
902,26.408562,24.019615,20
903,1.3585596,-55.959927,33
904,-29.741945,-45.320183,2
905,23.369421,-29.547028,6
906,-25.612522,16.682396,64
907,16.668453,1.7313663,65
908,13.162462,-64.42391,1
909,20.860485,-0.68771774,18
910,-57.48953,-17.024231,30
911,47.442215,-29.51085,42
